item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
honey,banana,jam,oil,chocolate,beans,orange,onion,eggs,tomato,
orange,beans,milk,honey,banana,bread,juice,rice,lentils,,
juice,orange,coffee,rice,sugar,,,,,,
coffee,honey,apple,cheese,butter,potato,juice,banana,,,
coffee,eggs,potato,honey,juice,milk,lentils,bread,,,
juice,bread,orange,banana,butter,spices,beans,apple,jam,tomato,lentils
butter,spices,onion,apple,rice,potato,jam,,,,
juice,beans,rice,sugar,tomato,spices,butter,salt,,,
jam,eggs,honey,salt,orange,sugar,coffee,tomato,spices,,
potato,eggs,banana,salt,coffee,,,,,,
sugar,apple,chocolate,banana,bread,tea,lentils,jam,coffee,onion,tomato
spices,onion,orange,jam,cheese,oil,lentils,,,,
cheese,salt,eggs,milk,banana,tea,oil,sugar,coffee,butter,
coffee,banana,tea,salt,lentils,rice,eggs,potato,,,
honey,milk,rice,lentils,jam,eggs,beans,coffee,,,
potato,tea,salt,juice,eggs,jam,sugar,lentils,onion,rice,
oil,coffee,bread,milk,sugar,onion,,,,,
rice,lentils,jam,potato,eggs,cheese,chocolate,salt,tomato,,
tea,rice,eggs,banana,coffee,milk,juice,chocolate,jam,,
bread,oil,rice,beans,eggs,salt,,,,,
tea,rice,butter,eggs,onion,orange,coffee,salt,,,
milk,lentils,coffee,tomato,potato,honey,cheese,apple,chocolate,bread,
bread,chocolate,banana,eggs,orange,sugar,salt,apple,lentils,,
orange,tomato,lentils,chocolate,potato,sugar,juice,butter,rice,bread,
oil,cheese,eggs,sugar,tea,spices,orange,bread,,,
tea,onion,coffee,oil,eggs,,,,,,
cheese,eggs,spices,jam,oil,bread,chocolate,juice,rice,tea,
banana,spices,bread,butter,tomato,,,,,,
beans,onion,tea,spices,chocolate,potato,coffee,milk,lentils,banana,sugar
spices,lentils,onion,coffee,potato,jam,,,,,
salt,sugar,milk,banana,jam,,,,,,
potato,orange,onion,beans,chocolate,eggs,sugar,,,,
honey,onion,jam,tomato,cheese,spices,sugar,potato,,,
oil,bread,milk,orange,tea,rice,salt,spices,,,
onion,honey,rice,sugar,cheese,bread,lentils,banana,salt,eggs,
apple,honey,banana,spices,orange,onion,,,,,
apple,butter,onion,tomato,jam,eggs,,,,,
orange,eggs,juice,honey,spices,potato,bread,milk,banana,lentils,cheese
honey,milk,tomato,orange,potato,tea,onion,cheese,butter,rice,beans
coffee,bread,lentils,banana,sugar,onion,jam,tea,,,
eggs,coffee,potato,jam,orange,rice,tomato,lentils,,,
rice,jam,coffee,cheese,onion,potato,beans,,,,
cheese,onion,eggs,butter,chocolate,spices,jam,rice,apple,tomato,oil
eggs,tea,potato,salt,banana,chocolate,spices,apple,sugar,,
honey,jam,butter,apple,orange,potato,,,,,
tomato,butter,cheese,jam,lentils,juice,milk,rice,,,
beans,rice,honey,onion,sugar,banana,butter,,,,
tomato,eggs,rice,bread,apple,sugar,,,,,
chocolate,oil,cheese,bread,milk,apple,banana,beans,,,
cheese,apple,honey,lentils,jam,coffee,sugar,potato,tomato,,
salt,beans,spices,orange,oil,sugar,milk,jam,,,
jam,beans,butter,onion,chocolate,banana,apple,salt,,,
tomato,jam,coffee,cheese,juice,spices,sugar,lentils,tea,milk,potato
eggs,honey,bread,tea,juice,cheese,jam,,,,
beans,milk,spices,salt,tomato,banana,,,,,
jam,orange,rice,coffee,sugar,spices,honey,juice,bread,,
cheese,apple,eggs,coffee,butter,orange,,,,,
honey,butter,lentils,sugar,orange,apple,spices,eggs,cheese,coffee,jam
tea,coffee,juice,onion,bread,potato,,,,,
apple,salt,banana,orange,chocolate,potato,,,,,
eggs,rice,milk,chocolate,bread,tea,coffee,beans,butter,onion,
butter,apple,rice,coffee,milk,jam,tea,beans,,,
eggs,tomato,spices,potato,milk,jam,coffee,,,,
eggs,onion,salt,apple,sugar,coffee,juice,tomato,,,
eggs,juice,chocolate,onion,cheese,,,,,,
spices,orange,bread,oil,sugar,coffee,jam,salt,apple,juice,tea
beans,cheese,lentils,juice,oil,bread,jam,onion,butter,apple,
salt,milk,juice,onion,orange,jam,coffee,bread,oil,honey,tomato
apple,juice,coffee,cheese,oil,lentils,beans,,,,
bread,milk,oil,jam,banana,spices,chocolate,juice,,,
honey,potato,tea,cheese,rice,onion,tomato,chocolate,bread,eggs,oil
beans,milk,onion,spices,tomato,coffee,cheese,potato,,,
salt,banana,cheese,butter,tomato,tea,bread,juice,potato,,
cheese,honey,coffee,jam,spices,orange,sugar,lentils,salt,juice,oil
spices,cheese,chocolate,oil,banana,sugar,salt,eggs,butter,onion,
rice,bread,tomato,chocolate,honey,,,,,,
chocolate,juice,bread,rice,spices,potato,,,,,
oil,juice,spices,potato,sugar,milk,,,,,
tea,salt,orange,tomato,butter,lentils,coffee,milk,chocolate,,
tomato,sugar,bread,coffee,cheese,banana,jam,,,,
honey,cheese,butter,tomato,juice,potato,coffee,oil,,,
bread,juice,sugar,salt,chocolate,coffee,eggs,spices,cheese,,
eggs,rice,apple,juice,beans,butter,,,,,
onion,juice,chocolate,spices,salt,cheese,sugar,,,,
tea,orange,honey,jam,juice,chocolate,eggs,coffee,apple,milk,onion
beans,tea,jam,potato,rice,spices,milk,bread,honey,,
spices,chocolate,salt,oil,orange,butter,tea,,,,
lentils,honey,potato,juice,chocolate,spices,,,,,
chocolate,orange,lentils,tea,honey,bread,juice,spices,beans,salt,cheese
rice,juice,apple,lentils,eggs,beans,onion,spices,,,
bread,banana,salt,spices,onion,beans,potato,rice,juice,orange,apple
onion,apple,beans,jam,coffee,lentils,tomato,bread,honey,tea,
juice,tea,sugar,milk,butter,,,,,,
tea,banana,salt,rice,chocolate,,,,,,
cheese,lentils,spices,chocolate,oil,,,,,,
oil,beans,sugar,honey,eggs,spices,chocolate,coffee,,,
banana,spices,jam,bread,tomato,beans,eggs,,,,
cheese,banana,chocolate,juice,apple,,,,,,
beans,eggs,banana,milk,cheese,onion,,,,,
chocolate,honey,sugar,milk,potato,onion,rice,spices,lentils,salt,
potato,chocolate,banana,beans,butter,honey,salt,milk,sugar,juice,orange
honey,onion,beans,banana,milk,orange,apple,,,,
lentils,banana,honey,rice,butter,jam,,,,,
tea,beans,bread,milk,tomato,sugar,chocolate,jam,,,
coffee,milk,butter,tomato,honey,,,,,,
sugar,onion,coffee,milk,butter,eggs,juice,orange,honey,chocolate,
butter,apple,banana,potato,bread,orange,,,,,
apple,cheese,butter,honey,eggs,,,,,,
chocolate,sugar,bread,milk,apple,tea,rice,juice,beans,eggs,
onion,spices,oil,tomato,orange,butter,,,,,
salt,orange,beans,apple,chocolate,lentils,butter,tea,juice,eggs,
butter,cheese,rice,onion,lentils,beans,spices,,,,
butter,bread,salt,sugar,eggs,,,,,,
jam,salt,sugar,tomato,milk,orange,oil,juice,cheese,beans,onion
sugar,salt,tomato,milk,onion,spices,beans,,,,
tea,cheese,milk,eggs,orange,rice,apple,lentils,tomato,sugar,honey
honey,jam,tomato,chocolate,orange,oil,,,,,
potato,coffee,banana,juice,bread,eggs,orange,jam,milk,cheese,
cheese,apple,jam,honey,sugar,rice,,,,,
potato,sugar,lentils,butter,tea,orange,chocolate,apple,beans,,
juice,apple,milk,butter,sugar,,,,,,
rice,spices,tomato,lentils,onion,apple,potato,chocolate,salt,,
jam,coffee,spices,butter,apple,milk,cheese,onion,banana,honey,
juice,tomato,eggs,apple,oil,beans,butter,,,,
bread,onion,lentils,beans,spices,,,,,,
banana,oil,beans,apple,eggs,onion,bread,potato,orange,tomato,lentils
banana,potato,jam,tomato,butter,milk,coffee,onion,beans,oil,
onion,oil,spices,cheese,juice,rice,butter,tea,,,
coffee,cheese,banana,milk,rice,lentils,spices,apple,butter,bread,eggs
banana,milk,eggs,tea,spices,butter,jam,,,,
orange,butter,spices,juice,beans,potato,lentils,salt,cheese,rice,apple
bread,chocolate,sugar,oil,tea,beans,orange,honey,eggs,,
tomato,chocolate,coffee,milk,lentils,cheese,sugar,rice,eggs,apple,potato
sugar,beans,apple,jam,tea,spices,,,,,
tea,juice,apple,oil,potato,onion,butter,sugar,banana,beans,
apple,onion,oil,potato,eggs,rice,butter,bread,cheese,,
coffee,onion,milk,salt,juice,bread,banana,jam,spices,tea,chocolate
sugar,onion,eggs,juice,salt,beans,milk,banana,,,
coffee,jam,chocolate,butter,tea,milk,orange,bread,rice,lentils,beans
chocolate,juice,orange,tea,apple,rice,potato,,,,
lentils,chocolate,jam,spices,salt,bread,honey,juice,milk,,
banana,milk,salt,potato,eggs,sugar,tomato,,,,
cheese,honey,tomato,milk,coffee,beans,onion,banana,,,
lentils,cheese,potato,tomato,butter,beans,orange,eggs,onion,,
rice,apple,potato,orange,jam,tomato,coffee,juice,,,
rice,orange,lentils,bread,tea,eggs,,,,,
spices,banana,tomato,cheese,jam,coffee,tea,,,,
spices,salt,honey,cheese,tea,chocolate,rice,potato,eggs,jam,apple
cheese,banana,chocolate,lentils,rice,milk,jam,beans,salt,butter,spices
banana,orange,oil,jam,coffee,sugar,bread,,,,
apple,onion,sugar,potato,eggs,cheese,lentils,jam,honey,,
oil,juice,butter,bread,sugar,onion,jam,,,,
beans,juice,sugar,orange,cheese,bread,tea,spices,tomato,honey,
coffee,bread,spices,beans,apple,oil,chocolate,banana,milk,honey,
chocolate,cheese,eggs,milk,oil,honey,tea,,,,
juice,eggs,orange,salt,milk,tea,spices,butter,bread,tomato,
banana,butter,cheese,sugar,potato,chocolate,coffee,eggs,tea,oil,
honey,milk,tomato,apple,beans,juice,orange,rice,,,
eggs,butter,milk,honey,chocolate,banana,cheese,tea,tomato,jam,
bread,honey,sugar,cheese,beans,tomato,butter,tea,coffee,salt,jam
honey,cheese,sugar,oil,apple,,,,,,
oil,banana,juice,orange,honey,apple,eggs,,,,
coffee,tea,apple,banana,juice,oil,potato,jam,lentils,,
spices,rice,potato,juice,beans,sugar,banana,eggs,lentils,butter,
tea,chocolate,bread,onion,rice,,,,,,
coffee,cheese,onion,tomato,eggs,honey,rice,spices,potato,,
honey,orange,beans,tomato,juice,potato,,,,,
cheese,lentils,salt,apple,chocolate,bread,jam,rice,,,
potato,oil,juice,chocolate,orange,lentils,apple,,,,
salt,honey,butter,juice,oil,,,,,,
jam,milk,lentils,spices,salt,tomato,orange,,,,
tea,eggs,salt,cheese,potato,bread,orange,chocolate,,,
chocolate,oil,potato,spices,rice,bread,,,,,
lentils,juice,tea,salt,tomato,orange,cheese,spices,chocolate,bread,
lentils,cheese,bread,tea,oil,jam,honey,chocolate,salt,coffee,butter
onion,rice,salt,oil,spices,cheese,honey,apple,eggs,bread,
butter,eggs,jam,bread,apple,,,,,,
oil,cheese,apple,chocolate,sugar,tea,,,,,
oil,cheese,bread,orange,spices,butter,,,,,
rice,honey,tomato,tea,chocolate,butter,apple,oil,jam,milk,
butter,apple,jam,rice,spices,,,,,,
honey,tea,banana,sugar,butter,spices,apple,chocolate,bread,cheese,milk
spices,butter,beans,eggs,onion,oil,honey,apple,milk,cheese,
tomato,apple,milk,eggs,potato,salt,rice,,,,
orange,chocolate,beans,sugar,salt,apple,oil,potato,banana,spices,
salt,beans,bread,oil,honey,milk,,,,,
oil,beans,butter,coffee,sugar,,,,,,
potato,banana,beans,sugar,lentils,,,,,,
bread,orange,potato,coffee,milk,beans,jam,rice,,,
beans,potato,cheese,jam,onion,,,,,,
spices,oil,salt,chocolate,butter,banana,potato,apple,,,
banana,butter,tomato,chocolate,lentils,salt,onion,apple,coffee,milk,spices
sugar,lentils,spices,cheese,banana,onion,milk,,,,
potato,oil,apple,lentils,beans,bread,jam,salt,cheese,banana,
sugar,cheese,salt,rice,oil,potato,milk,,,,
salt,milk,cheese,tea,sugar,,,,,,
cheese,spices,orange,banana,butter,eggs,chocolate,,,,
sugar,potato,cheese,bread,banana,tea,beans,,,,
chocolate,cheese,sugar,eggs,rice,milk,,,,,
lentils,chocolate,salt,orange,butter,beans,,,,,
sugar,orange,banana,cheese,juice,jam,chocolate,potato,,,
chocolate,coffee,banana,cheese,apple,bread,rice,honey,jam,tea,sugar
cheese,eggs,onion,potato,beans,,,,,,
potato,bread,butter,salt,banana,apple,oil,honey,lentils,,
oil,eggs,rice,jam,bread,spices,sugar,coffee,,,
beans,banana,rice,oil,bread,,,,,,
butter,apple,jam,honey,eggs,potato,,,,,
salt,rice,bread,potato,juice,,,,,,
potato,jam,rice,juice,bread,orange,milk,honey,,,
beans,spices,bread,jam,milk,,,,,,
coffee,bread,spices,apple,jam,lentils,onion,oil,cheese,milk,
bread,butter,onion,jam,potato,coffee,,,,,
cheese,onion,orange,milk,honey,jam,spices,coffee,,,
orange,spices,beans,milk,lentils,cheese,bread,,,,
bread,sugar,tea,apple,rice,coffee,orange,cheese,,,
orange,honey,apple,potato,cheese,eggs,beans,bread,,,
tomato,rice,juice,butter,beans,orange,chocolate,potato,salt,cheese,honey
potato,tomato,apple,oil,jam,butter,cheese,,,,
tea,banana,sugar,milk,chocolate,potato,rice,jam,oil,salt,tomato
honey,spices,apple,potato,orange,tomato,oil,,,,
juice,cheese,chocolate,coffee,salt,lentils,beans,spices,,,
juice,milk,beans,potato,tea,,,,,,
butter,tomato,rice,milk,orange,banana,juice,onion,,,
sugar,honey,chocolate,spices,tomato,,,,,,
tomato,tea,butter,juice,milk,salt,,,,,
potato,salt,beans,sugar,spices,lentils,cheese,tea,rice,chocolate,
salt,tea,cheese,potato,bread,banana,,,,,
orange,honey,eggs,oil,coffee,,,,,,
apple,spices,potato,coffee,sugar,cheese,eggs,bread,,,
rice,juice,jam,honey,tomato,apple,spices,lentils,orange,milk,cheese
bread,banana,lentils,oil,rice,sugar,milk,,,,
apple,butter,sugar,lentils,honey,spices,potato,,,,
jam,chocolate,oil,cheese,banana,,,,,,
eggs,cheese,butter,tea,orange,potato,banana,bread,milk,tomato,
orange,tomato,apple,oil,chocolate,spices,bread,tea,,,
cheese,potato,salt,honey,banana,,,,,,
coffee,oil,spices,onion,juice,butter,beans,lentils,bread,,
coffee,potato,apple,sugar,cheese,honey,eggs,bread,,,
milk,apple,salt,oil,chocolate,lentils,butter,,,,
milk,honey,chocolate,tomato,oil,eggs,lentils,,,,
jam,eggs,bread,sugar,tea,butter,,,,,
beans,onion,apple,orange,tomato,lentils,jam,juice,,,
potato,beans,eggs,orange,honey,sugar,coffee,,,,
potato,apple,bread,salt,lentils,,,,,,
jam,orange,tea,juice,onion,rice,potato,lentils,,,
lentils,beans,tomato,salt,onion,banana,coffee,oil,,,
milk,tea,cheese,tomato,onion,,,,,,
eggs,onion,coffee,rice,salt,,,,,,
tomato,apple,cheese,orange,butter,coffee,lentils,chocolate,salt,,
jam,spices,rice,juice,eggs,tomato,oil,tea,,,
banana,lentils,juice,tomato,spices,milk,butter,eggs,,,
chocolate,oil,coffee,onion,tomato,,,,,,
bread,potato,eggs,chocolate,tomato,banana,,,,,
potato,onion,juice,milk,beans,jam,salt,cheese,,,
coffee,salt,bread,potato,juice,beans,rice,oil,,,
sugar,cheese,tea,salt,lentils,beans,apple,,,,
oil,honey,bread,lentils,salt,chocolate,spices,cheese,butter,banana,tomato
apple,jam,orange,butter,sugar,,,,,,
salt,apple,onion,spices,jam,chocolate,tea,lentils,rice,,
jam,spices,oil,honey,juice,chocolate,beans,bread,milk,cheese,banana
coffee,honey,eggs,tea,tomato,,,,,,
beans,orange,coffee,bread,jam,tomato,rice,,,,
cheese,oil,bread,sugar,beans,salt,jam,milk,spices,honey,
apple,potato,bread,milk,salt,onion,coffee,,,,
potato,lentils,butter,beans,tomato,coffee,juice,tea,bread,,
banana,salt,eggs,oil,cheese,milk,,,,,
banana,chocolate,eggs,jam,coffee,,,,,,
honey,sugar,orange,oil,eggs,,,,,,
banana,tomato,cheese,apple,lentils,orange,coffee,spices,jam,,
cheese,tomato,banana,orange,apple,juice,potato,lentils,onion,,
potato,bread,milk,spices,beans,honey,chocolate,jam,orange,juice,salt
coffee,milk,juice,jam,tomato,tea,rice,,,,
honey,potato,bread,butter,chocolate,,,,,,
sugar,chocolate,lentils,tomato,eggs,juice,apple,,,,
jam,honey,onion,orange,salt,potato,lentils,spices,tomato,,
juice,cheese,milk,potato,lentils,onion,tea,coffee,butter,bread,
sugar,tomato,apple,spices,bread,potato,,,,,
juice,spices,butter,potato,apple,bread,,,,,
tea,cheese,eggs,coffee,rice,chocolate,,,,,
orange,lentils,spices,onion,sugar,,,,,,
sugar,chocolate,milk,tea,apple,,,,,,
spices,juice,salt,oil,cheese,lentils,tomato,bread,potato,apple,
potato,banana,juice,salt,tomato,lentils,butter,,,,
spices,oil,eggs,apple,sugar,,,,,,
potato,tomato,rice,beans,orange,jam,honey,onion,coffee,bread,
banana,chocolate,potato,onion,apple,orange,honey,spices,,,
rice,lentils,orange,tomato,cheese,sugar,milk,apple,banana,,
orange,honey,cheese,banana,beans,jam,tea,potato,milk,lentils,bread
sugar,apple,honey,salt,rice,oil,,,,,
beans,butter,cheese,rice,orange,honey,sugar,salt,spices,banana,lentils
sugar,orange,honey,salt,eggs,lentils,banana,chocolate,apple,,
salt,tomato,spices,juice,cheese,jam,coffee,eggs,beans,potato,butter
milk,honey,rice,butter,sugar,,,,,,
jam,eggs,coffee,bread,beans,tea,,,,,
honey,sugar,rice,potato,lentils,eggs,tomato,beans,salt,,
butter,honey,onion,cheese,lentils,salt,apple,orange,coffee,oil,beans
banana,rice,spices,bread,tomato,,,,,,
banana,chocolate,oil,orange,rice,juice,onion,sugar,apple,,
cheese,orange,eggs,butter,oil,milk,bread,apple,onion,honey,potato
potato,oil,eggs,tomato,milk,coffee,salt,orange,lentils,,
orange,oil,butter,spices,sugar,chocolate,onion,juice,beans,,
bread,beans,jam,banana,spices,juice,oil,onion,tea,,
cheese,tomato,sugar,bread,juice,orange,rice,honey,spices,,
sugar,eggs,onion,apple,potato,juice,cheese,milk,beans,,
milk,beans,potato,coffee,butter,lentils,juice,honey,spices,,
apple,salt,rice,tomato,coffee,orange,potato,eggs,banana,sugar,
bread,cheese,jam,oil,coffee,eggs,sugar,spices,banana,honey,salt
onion,spices,salt,banana,cheese,beans,,,,,
rice,chocolate,tomato,cheese,apple,milk,salt,banana,honey,potato,onion
oil,jam,orange,tomato,potato,cheese,,,,,
sugar,onion,cheese,milk,tea,oil,bread,banana,coffee,,
sugar,tomato,coffee,beans,onion,butter,,,,,
potato,chocolate,eggs,honey,orange,apple,,,,,
honey,orange,bread,juice,cheese,banana,spices,sugar,,,
eggs,lentils,onion,tea,oil,cheese,orange,banana,salt,bread,
potato,lentils,oil,banana,jam,,,,,,
chocolate,tea,sugar,lentils,salt,onion,,,,,
potato,bread,chocolate,orange,oil,milk,salt,banana,sugar,tea,
spices,orange,onion,apple,cheese,coffee,salt,eggs,tomato,butter,
potato,cheese,tomato,banana,jam,oil,lentils,onion,sugar,,
tomato,oil,rice,honey,eggs,tea,milk,,,,
apple,rice,bread,milk,butter,jam,eggs,,,,
jam,tomato,milk,beans,spices,chocolate,,,,,
potato,orange,butter,salt,onion,coffee,milk,honey,beans,,
jam,tea,apple,cheese,eggs,coffee,butter,beans,tomato,banana,honey
rice,coffee,orange,banana,tea,spices,cheese,,,,
milk,lentils,honey,salt,oil,potato,eggs,butter,beans,sugar,rice
jam,juice,onion,eggs,bread,chocolate,,,,,
lentils,honey,tea,jam,beans,oil,juice,orange,rice,,
milk,orange,tea,onion,apple,salt,juice,eggs,oil,rice,sugar
potato,eggs,rice,juice,tomato,salt,sugar,bread,honey,banana,
apple,butter,honey,tea,orange,cheese,,,,,
juice,eggs,milk,orange,chocolate,,,,,,
